title,cleaned_description,cluster,topic
"Lok Sabha Election: Uttar Pradesh में जमकर हुई सियासी लड़ाई, अब नतीजों की बारी | Khabron Ki Khabar","Lok Sabha Election 2024: लोकसभा चुनाव 2024 का अब आखिरी चरण का प्रचार पूरा हो चुका है. शनिवार को अंतिम चरण का मतदान कराया जाएगा. इससे पहले हर तरफ चुनाव के नतीजों को लेकर कयास लगाए जा रहे हैं.भारत की हर गली और नुक्कड़ पर बैठे चुनावी चाणक्य और उनकी भविष्यवाणी हम रोज सुन रहे हैं. लेकिन, कुछ लोग और संस्थान ऐसे हैं जो डेटा और रिसर्च के बलबूते चुनाव के परिणाम बताने का दावा करते हैं. इंग्लिश में इनको सिफॉलजिस्ट (Psephologist) और हिंदी में चुनाव विश्लेषक कहा जाता है.",0,2024 चरण नत पर रह
Lok Sabha Elections 2024 के सबसे सटीक नतीजे देखिए NDTV Poll Of Polls पर | Elections 2024,,1,nan
Lok Sabha Election: हैट्रिक की तरफ़ बढ़ रहे PM Modi को कितनी टक्कर दे पाएंगे Congress के उम्मीदवार?,Lok Sabha Election 2024: लोकसभा चुनाव अपने अंतिम पड़ाव पर पंहुच रहे है.कल 7 वें चरण के लिए 8 राज्यो की 57 सीटो पर वोट पड़ने हैं। कौन मरेगा बाज़ी ?,2,election lok पड पर रह
Congress की रणनीति Mallikarjun Kharge से मिला बड़ा इशारा | Lok Sabha Election 2024,,3,nan
"Hush Money Case: Donald Trump, Porn Star Stormy Daniels और Hush Money की पूरी कहानी",Donald Trump Hush Money Case: America के पूर्व राष्ट्रपति डोनाल्ड ट्रंप (Donald Trump) को मुंह बंद रखने के लिए पोर्न स्टार को चोरी छिपे 1 लाख 30 हजार डॉलर देने से संबंधित 34 मामलों में दोषी करार दिया गया है. मैनहट्टन कोर्ट की 12 सदस्यों की जूरी ने ट्रंप को दोषी करार दिया है. उनकी सजा पर सुनवाई 11 जुलाई को होगी. इस मामले में डोनाल्ड ट्रंप (Donald Trump Convicted) को अधिकतम 4 साल जेल हो सकती है. सवाल यह है कि अब आगे क्या होगा? जानिए पूरी डिटेल्स,4,donald hush money trump मल
भगवा वस्त्र धारण कर PM Modi की तपस्या शुरू...  PMModi  | Kanyakumari | Vivekanand Rock Memorial,लोकसभा चुनाव में आखिरी चरण का चुनाव प्रचार थमने के बाद प्रधानमंत्री नरेंद्र मोदी कन्याकुमारी के विवेकानंद रॉक मेमोरियल में ध्यान कर रहे हैं। भगवा वस्त्र धारण कर पीएम मोदी की तपस्या 45 घंटे तक चलेगी 1 जून की शाम को बाहर आएंगे।,5,कर तपस भगव रण वस
"Delhi में Water Crisis दूर करने के लिए लगाए गए कई बैन, नहीं मानने पर होगा एक्शन : AAP","Delhi Water Crisis: दिल्ली की जल मंत्री आतिशी ने बताया कि शहर में पानी की समस्या को दूर करने के लिए वाटर टैंकर वार रूम बनाया जाएगा. उन्होंने बताया कि जिस भी क्षेत्र में पानी की समस्या है, तो 1916 पर फोन करें, वहां पानी का टैंकर पहुंच जाएगा.",6,crisis delhi water कर समस
Lok Sabha Election 2024: Phase 7 के पहले Viral हो रहा है Varanasi का ये वीडियो | Shorts,,7,nan
Lok Sabha Election: West Bengal में फिर चलेगा PM Modi का जादू या Mamata Banerjee करेंगी करिश्मा?,Lok Sabha Election 2024: 42 सीटों वाले पश्चिम बंगाल (West Bengal) में बीजेपी और तृणमूल कांग्रेस (TMC) ज्यादा से ज्यादा सीटें जीतने के लिए पूरा दमखम लग रही है. मोदी के चेहरे पर चुनाव लड़ रही बीजेपी के लिए सीटें बढ़ाना बड़ी चुनौती है वहीं ममता बनर्जी के लिए बड़ी चुनौती बीजेपी को रोकने के साथ-साथ लेफ्ट और कांग्रेस से भी निपटना है.,8,bengal election lok कर रह
PM Modi ने बनाया New Record भीषण गर्मी में रैलियों की बरसात | Heat Waves,,9,nan
"Lok Sabha Elections 2024 में PM Modi ने चुनाव प्रचार के दौरान 206 रैलियां, इवेंट और रोड शो किए","Lok Sabha Elections 2024: 2024 लोक सभा चुनाव के लिए पीएम मोदी के प्रचार का आज समापन हो गया है. प्रधानमंत्री नरेंद्र मोदी ने इस बार रिकॉर्ड प्रचार किया. पीएम मोदी ने 206 रैलियां, इवेंट और रोड शो किए इस दौरान उन्होंने विभिन्न चैनलों, एजेंसियों और अखबारों को 80 इंटरव्यू दिए.",10,2024 206 elections lok रच
NDTV Election Carnival: Chandigarh में किसका होगा बेड़ा पार? | Lok Sabha Election 2024,"Lok Sabha Election 2024: एक लंबा सफर तय कर पहुंच गया है एक नए शहर चंडीगढ़ में चुनावी मेला सजाने, जहां शहरी वोटर्स करेंगे अपना फैसला",11,2024 election lok sabha शहर
"Purvanchal में कौन लहराएगा परचम ? UP का 7वां चरण, 7 बड़े सवाल | NDTV Data Centre | BJP | BSP | SP","Lok Sabha Elections 2024: यूपी (Uttar Pradesh) में सातवें चरण की चुनावी जंग पूर्वांचल (Purwanchal) के रण में होनी है. सबसे Hot Seat वाराणसी (Varanasi) भी इसी चरण में है। जहां बीजेपी (BJP) के सामने जातियों के चुनावी चक्रव्यूह को तोड़ने की चुनौती है तो वहीं BSP के लिए अपने सियासी आधार को बचाए रखने की लड़ाई है. इस चरण की 13 सीटों में 5 पांच सीटें योगी आदित्यनाथ (Yogi Adityanath) के गृह जिले गोरखपुर (Gorakhpur) के आसपास की हैं जबकि 4 सीटें पीएम मोदी (PM Modi) के चुनाव क्षेत्र वाराणसी से सटी हैं. 2019 में बीजेपी गठबंधन ने 13 में से 11 सीटें जीती थीं. बाक़ी दो सीटें बीएसपी ने जीती थीं. (Aired on May 29, 2024)",12,13 2024 bjp इस चरण
"North Korea और South Korea के बीच शुरू हुआ ""गुब्बारा वॉर""! | Balloon War | NDTV India",,13,nan
Lok Sabha Election: 7वें चरण से पहले PM Modi के क्षेत्र Varanasi में कहां पहुंचा सियासी पारा ?,Lok Sabha Election: 7वें चरण के मतदान से पहले PM Modi के क्षेत्र Varanasi में सियासी पारा काफी ज्यादा बढ़ गया है. बनारस के अस्सी घाट पर काशी लोकसभा सीट को लेकर चर्चा हुई. जहां लोगों ने अपनी राय सामने रखी. चाय पर चर्चा में जनता ने खुलकर बताया कि इस बार पीएम मोदी की वापसी होगी या खुछ टक्कर देखने को मिलेगी.,14,7व कर चरण पर पहल
"Congress के मणि- चायवाला से चीन तक, पार्टी ने झाड़ा पल्ला",,15,nan
Lok Sabha Elections 2024 के सबसे सटीक नतीजे देखिए NDTV Poll Of Polls पर | Elections 2024,,16,nan
Lok Sabha Election 2024: Ravi Kishan ने चाय बनाते हुए क्या बड़ी बात कह दी | NDTV India,Gorakhpur Lok Sabha Seat: गोरखपुर से सांसद रवि किशन ने NDTV से चुनावी चर्चा करते हुए गोरखपुर के चुनावी मुद्दे समझा दिये। साथ ही रवि किशन ने पाकिस्तान पर बड़ी बात कह दी।,17,lok ndtv रखप रव शन
"Mani shankar Aiyar के बयान पर BJP हमलावर, कहा- ये कांग्रेस की सोच",Mani Shankar Aiyar BREAKING NEWS: पूर्व केंद्रीय मंत्री और कांग्रेस नेता मणिशंकर अय्यर विवादित बयानों को लेकर चर्चा में बने रहते हैं. एक बार फिर उन्होंने 1962 में चीन आक्रमण पर एक विवादित बयान दिया है जिसको लेकर बवाल मचा हुआ है. वहीं बीजेपी इसे लेकर कांग्रेस पर हमलावर है. बीजेपी नेता दुष्यंत गौतम ने इसपर कहा कि ये कांग्रेस की सोच है.,18,कर कह पर बय वर
"Amit Shah Exclusive Interview: ""POK भारत का हिस्सा है, इसमें कोई शंका नहीं- अमित शाह""","Amit Shah Exclusive Interview: केंद्रीय गृहमंत्री अमित शाह (Amit Shah) ने लोकसभा चुनाव (Lok Sabha Election) के बीच में देश के तमाम बड़े मुद्दों और भारतीय जनता पार्टी (BJP) पार्टी के भविष्य की योजनाओं को लेकर NDTV के एडिटर इन-चीफ संजय पुगलिया (Sanjay Pugalia) से EXCLUSIVE बातचीत की. NDTV से अमित शाह ने कहा, हमने जो कहा था वो किया ... 370 हटाई, राम मंदिर बनाया... हमारा कमिटमेंट था वो हमने पूरा किया, पीओके भी कमिटमेंट है देखें पूरा इंटरव्यू :",19,amit exclusive shah अम हमन
Madhya Pradesh के छिंदवाड़ा में सो रहे परिवार के आठ लोगों को कुल्हाड़ी से काट डाला,,20,nan
Bangladeshi MP Murder: सांसद बनते ही अनवारुल पर सोना तस्करी का आरोप | NDTV India,"Bangladeshi MP Murder: बांग्लादेश के एक सांसद का पहले कोलकाता मे लापता होना और फिर उनका कत्ल हो जाना, इस सनसनीखेज खबर से कोलकाता से ढाका तक हंगामा मच गया। सवाल उठा कि एक सांसद का इतनी बेरहमी से कत्ल क्यों हुआ। जब जांच में साजिश के तार जुड़ने लगे तो पता चला कि इसके पीछे सोने की तस्करी का बहुत बडा काला धंधा और उस धंधे से जुड़ा एक नेटवर्क काम कर रहा था।",21,bangladeshi mp एक कर सद
"Himachal Pradesh के Hamirpur में बड़े नेताओं का जुड़ाव, फिर भी तरक्की में पीछे? |Lok Sabha Elections","Lok Sabha Election 2024: 9,775 किमी का फ़ासला तय कर हिमाचल के हमीरपुर में NDTV इलेक्शन कार्निवाल, हमीरपुर लोकसभा की 4 सीटें,6 विधानसभा सीट पर उपचुनाव अनुराग ठाकुर के मुक़ाबले कांग्रेस के सतपाल रायज़ादा, क्या 4 बार के सांसद अनुराग ठाकुर को रोक पाएगी कांग्रेस?",22,lok sabha अन रप हम
"Elections 2024: ""मौत का सौदागर, गंदी नाली का कीड़ा..."", PM Modi ने बताया कैसे बने 'गाली प्रूफ'",,23,nan
Rajkot Game Zone Fire: कांग्रेस कार्यकर्ताओं ने पीड़ितों को अर्पित की श्रद्धांजलि,"Rajkot Game Zone Fire: गुजरात (Gujarat) के राजकोट में गेम जोन (Rajkot Game Zone) हादसे ने लोगों के दिलों को दहला कर रख दिया था. इस मामले में जांच जारी है. वहीं इस भीषण हादसे में जान गंवाने वालों को याद कर कांग्रेस कार्यकर्ता (Congress Workers) सड़कों पर उतर आए और मृतकों को श्रद्धांजलि अर्पित की. गुजरात के अमरेली (Amreli, Gujarat) में कांग्रेस कार्यकर्ताओं ने सोमवार को राजकोट गेम जोन अग्निकांड में जान गंवाने वालों को याद किया. कांग्रेस कार्यकर्ताओं ने हाथों में मोबाइल फ्लैश (Mobile Flash) चालू कर मौन रखा और पीड़ितों की याद में मोमबत्तियां जलाईं..",24,game rajkot zone जल यकर
"Lok Sabha Election 2024: EVM का इस्तेमाल करने वाला पहला देश भारत, कुछ देशों ने पीछे खींचा हाथ",,25,nan
Lok Sabha Election: Jammu Kashmir में रिकॉर्ड वोटिंग के लिए PM Modi को कहा धन्यवाद,"Jammu Kashmir के श्रीनगर (Srinagar) और बारामूला (Baramula) में रिकॉर्ड वोटिंग प्रतिशत के बाद, अनंतनाग-राजौरी (Anantnag-Rajouri) लोकसभा सीट ने भी शनिवार को छठे दौर के बाद वोटिंग प्रतिशत का रिकॉर्ड (Record Voting Percentage) बनाया, जहां 53 फीसदी वोटरों ने अपने वोट का प्रयोग किया, जो 40 वर्षों में सबसे ज्यादा है।",26,40 jammu kashmir रत शत
Rajasthan: मुस्लिम OBC जातियों के आरक्षण पर खतरा ? Government ले सकती है बड़ा फैसला,Rajasthan: जयपुर मुस्लिम आरक्षण को लेकर देशभर में राजनीतिक बहस के बीच राजस्थान सरकार (Rajasthan Government) चार जून के बाद फैसला ले सकती है । अगर ऐसा हुआ तो राजस्थान में मुस्लिम समाज (Muslim Society) की चौदह जातियों का OBC आरक्षण खतरे में सकता है । इस मुद्दे पर congress नेताओं के बयान के बाद सियासत तेज हो गई है । कोलकाता हाई कोर्ट (Kolkata High Court) के आदेश का असर राजस्थान में दिखाई दे रहा है । भजनलाल (Bhajanlal Sharma) सरकार OBC में शामिल चौदह मुस्लिम जातियों की समीक्षा करवाने जा रही है ।,27,obc rajasthan जस षण सकत
NDTV Battleground में Mallikarjun Kharge पर क्या बोली वरिष्ठ पत्रकार नीरजा चौधरी |Lok Sabha Election,Lok Sabha Elections 2024: नीरजा चौधरी ने बताया कि बीजेपी की ताकत है नेतृत्व और संगठन वहीं उन्होंने कहा कि हालांकि अगर विपक्ष की तरफ से मल्लिकार्जुन खरगे को पीएम पद के उम्मीदवार के तौर पर उतारा जाता तो हालात कुछ और हो सकते थे. नीरजा चौधरी के तर्क को संदीप शास्त्री ने काउंटर करते हुए कहा कि यह बीजेपी के पक्ष में जा सकता था. विपक्ष और कांग्रेस अगर कहीं चूक रही है तो वो है साझा रणनीति का अभाव और एक साथ चुनाव प्रचार नहीं करना.,28,कह धर पक रज सकत
NDTV Battleground | BJP के बन रहे हैं कई नए किले: प्रोफेसर संजय कुमार | Lok Sabha Election 2024,Lok Sabha Elections 2024: CSDS के प्रोफेसर संजय कुमार ने कहा कि क्रिकेट में कई बार देखने को मिलता है कि शुरुआती बल्लेबाज अच्छा प्रदर्शन नहीं करते हैं. वहीं बाद के बल्लेबाज काफी अच्छा प्रदर्शन करते हैं. कुछ ऐसे राज्य हैं जहां 2014 और 2019 में बीजेपी ने शानदार प्रदर्शन किया था लेकिन इस बार के चुनाव में बीजेपी प्रदर्शन खराब दिख रहा है. लेकिन कुछ नए किले बीजेपी इस चुनाव में भेद रही है. छठे और सांतवे नंबर के बल्लेबाज अच्छा प्रदर्शन कर रहे हैं. कुछ नए राज्यों में बीजेपी मजबूत हो रही है. यही कारण है कि देश भर में कोई लहर नहीं दिख रहा है.,29,नए बल रदर रह शन
Lok Sabha Election 2024:Tejashwi Yadav का PM Modi पर पलटवार,Lok Sabha Election 2024: बिहार(Biahr) के भोजपुर(Bhojpur) में तेजस्वी यादव(Tejashwi Yadav) ने जनसभा को संबोधित करते हुए PM मोदी(PM Modi) पर निशाना साधा. उन्होंने दावा किया की 4 जून को I.N.D.I.A गठबंधन की सरर्कर बन रही है.,30,2024 election lok modi pm
"Hardik-Natasa Divorce: Divorce नहीं, ये सब है PR Strategy?",Hardik-Natasa Divorce: पूनम पांडे की मौत की तरह Hardik Pandya और Natasa का तलाक भी है PR Strategy?,31,divorce hardik natasa pr strategy
Lok Sabha Chunav: जब Banaras में Manoj Tiwari को मिल गयी उनकी जबरा फैन | Election 2024,,32,nan
Mandi Lok Sabha Seat पर Vikramaditya Singh बनाम Kangana Ranaut? कौन जीतेगा ये हाई प्रोफाइल मुकाबला?,"Mandi Lok Sabha Seat: एनडीटीवी का इलेक्शन कार्निवल 9,700 किलोमीटर की दूरी तय कर मंडी पहुंचा है. मंडी में भाजपा और कांग्रेस का सीधा मुकाबला है. इस सीट पर Congress से Vikramaditya Singh लड़ रहे हैं और वहीं भाजपा से Kangana Ranaut इस बार मैदान में हैं. अब सवाल ये उठता है कि क्या Himachal Pradesh के Mandi में BJP लगा पाएगी जीत की हैट्रिक?",33,kangana lok mandi seat पर
Lok Sabha Election 2024: दिल्ली से हावड़ा के बीच युवाओं ने बताए इसबार के चुनावी मुद्दे,"Lok Sabha Election 2024: दिल्ली से हावड़ा के बीच चुनाव पर लोगों से बातचीत, लोक सभा चुनाव के चलते NDTV की टीम ने आम जनता से ट्रेन में चुनावी चर्चा कर लोगों से उनके मुद्दे और पसंदीदा नेता के बारे में जाना, देखिये इस चुनावी सफर में",34,2024 election lok sabha वड़
"Lok Sabha Election 2024: Karakat में Asaduddin Owaisi ने PM Modi, Lalu, Tejashwi Yadav पर बोला हमला","Lok Sabha Election 2024: Karakat में Asaduddin Owaisi ने PM Modi, Lalu, Tejashwi Yadav पर बोला हमला ऑल इंडिया मजलिस-ए-इत्तेहादुल मुस्लिमीन (एआईएमआईएम) प्रमुख असदुद्दीन ओवैसी ने शनिवार को प्रधानमंत्री नरेन्द्र मोदी के मंगलसूत्र और आरक्षण के संबंध में की गयी टिप्पणी को लेकर उन पर मुसलमानों का ‘‘अपमान’’ करने का आरोप लगाया। बिहार के काराकाट लोकसभा क्षेत्र में एक चुनावी रैली को संबोधित करते हुए ओवैसी ने कहा, ‘‘दिल्ली में अगर जरूरत पड़ेगी भारत की जनता ऐसा फैसला देगी कि तीसरी बार देश का प्रधानमंत्री नरेन्द्र मोदी न बनें। मैं आपसे वादा करता हूं कि एआईएमआईएम पार्टी यकीनन कोशिश करके किसी ऐसे व्यक्ति को देश का प्रधानमंत्री बनाएगी जिसका संबंध भाजपा और मोदी से न हो।’’ ओवैसी ने कहा, ‘‘काराकाट को कालीन व्यवसाय के लिए जाना जाता है। लेकिन यहां के युवाओं को यह याद रखना चाहिए कि कालीन बुनना ठीक है, लेकिन उन लोगों के लिए इसे बिछाते रहना नहीं जो सत्ता के लिए आपको इस्तेमाल करना चाहते हैं।’’",35,एआईएमआईएम ओव नम पर रध
"Rajnath Singh NDTV Exclusive : ""400 पार सिर्फ एक नारा नहीं, बल्कि..."": रक्षा मंत्री राजनाथ सिंह","Rajnath Singh NDTV Exclusive Interview: NDTV से खास बातचीत करते हुए रक्षा मंत्री राजनाथ सिंह ने भरोसा जताया है कि इस बार लोकसभा चुनाव में बीजेपी और उसके सहयोगी दल 400 से ज्यादा सीटें जीतेंगे. PM मोदी के साथ-साथ बीजेपी के अन्य नेता भी इस चुनाव में 400 सीटें को लेकर दावा कर रहे हैं. राजनाथ सिंह ने एक विशेष साक्षात्कार में एनडीटीवी को बताया, ""400 पार (400 पार करना) सिर्फ हमारा अभियान का नारा नहीं था, बल्कि हमारा संकल्प था. छह चरणों के बाद, हम उस संख्या को पार करने के लिए बहुत आश्वस्त हैं.""",36,400 ndtv करन जन हम
Uttar Pradesh के Mirzapur में PM Modi और CM Yogi का जनता को संबोधन | NDTV India,PM Modi LIVE: Uttar Pradesh के Mirzapur में PM Modi और CM Yogi का जनता को संबोधन | NDTV India Live TV,37,cm india live modi pm
"Lok Sabha Election 2024 Phase 6 Voting: जानें किस राज्य में कितना हुआ मतदान, किसका चला दांव?",Lok Sabha Election 2024 Phase 6 Voting: लोकसभा चुनाव के छठे दौर के लिए आज वोटिंग खत्म हो गई. सात राज्यों और 1 केंद्रशासित प्रदेश की 58 सीटों पर मतदान हुआ. इस दौर के साथ ही 543 लोकसभा सीटों के 487 सीटों पर मतदान खत्म हो चुका है. छठे चरण में 5 बजे तक 57.7 प्रतिशत वोट पड़े. आख़िरी और सातवां दौर- एक जून को होगा जिसमें 57 सीटों पर मतदान होगा. आज कहां कितनी हुई वोटिंग और इसके मायने क्या है? |,38,2024 छठ तन पर मतद
Lok Sabha Election 2024: Varanasi में Priyanka Gandhi-Dimple Yadav का Road Show | SP | Congress,,39,nan
Lok Sabha Election 2024 Phase 6 Voting LIVE Updates: दोपहर 3 बजे तक 49.2 प्रतिशत मतदान,"Lok Sabha Election 2024 Phase 6 Voting: लोकसभा चुनाव के छठे चरण के तहत उत्तर प्रदेश, पश्चिम बंगाल, बिहार, झारखंड, हरियाणा, दिल्ली, ओडिशा और जम्मू एवं कश्मीर सहित देश के 8 राज्यों एवं केंद्र शासित प्रदेशों की 58 लोकसभा सीटों पर शनिवार को मतदान जारी है. दोपहर 3 बजे तक इन सभी लोकसभा सीटों पर 49.2 प्रतिशत मतदाता अपने मताधिकार का प्रयोग कर चुके हैं.",40,2024 कसभ पहर बज मतद
PM Modi In Bihar: चुनाव के बीच मोदी की  Bihar के Karakat में रैली  | Lok Sabha Election 2024,"PM Modi In Bihar: Lok Sabha Election के चलते आज PM Modi ने बिहार के Karakat में एक रैली की जहाँ पर उन्होंने विपक्ष पर जमकर निशाना साधा, देखिये पूरा भाषण",41,bihar election modi pm sabha
Lok Sabha Election Phase 6: Kamaljeet Sehrawat और राजनीति पर क्या बोले Mahabal Mishra? | BJP | AAP,,42,nan
PM Modi EXCLUSIVE Interview On NDTV: पसमांदा मुसलमानों को शिक्षा मिलनी चाहिए- पीएम मोदी,PM Modi EXCLUSIVE Interview On NDTV: प्रधानमंत्री नरेंद्र मोदी (PM Narendra Modi) ने शुक्रवार को NDTV के साथ एक्सक्लूसिव इंटरव्यू में पसमांदा मुसलमानों का जिक्र किया. उन्होंने कहा कि उनके साथ अगड़ों ने धोखा किया है. उनको शिक्षा मिलनी चाहिए और उनको समाज में आगे आना चाहिए.,43,exclusive modi ndtv pm उनक
Saayoni Ghosh और Kunal Vijayakar के साथ देखिए Kolkata में क्या है चुनाव का माहौल? | NDTV Poll Curry,Lok Sabha Election 2024: इस हफ्ते NDTV Poll Curry पर हम आपको ले आए हैं कोलकाता एक जायकेदार सफर पर. जहां हमारे साथ हैं Actress और Politician Sayoni Ghosh. जिन्होंने अपने हाथों से बनाए ‘मोमोज’ और Kunal Vijayakar के साथ की ढेर सारी बातचीत.,44,kunal ndtv poll vijayakar पर
"Prashant Kishor की भविष्यवाणी पर Rajasthan में बढ़ा पारा, Ashok Gehlot ने दी तीखी प्रतिक्रिया",,45,nan
Himachal के Chamba की खूबसूरती को PM Modi ने कैमरे में किया कैद । Video Viral,,46,nan
"Election Commission को 48 घंटे में Voting Data देने पर फिलहाल राहत, SC में क्या हुआ | Voters",Lok Sabha Election 2024: सुप्रीम कोर्ट(Supreme Court) ने चुनाव आयोग से फाइनल वोटिंग परसेंटेज में हुई बढ़ोतरी को लेकर जवाब मांगा है। एसोसिएशन फॉर डेमोक्रेटिक रिफॉर्म्स (ADR) ने सुप्रीम कोर्ट में एक याचिका दायर की थी और इस पर सुनवाई हुई। ADR ने अपनी याचिका में आशंका जताई कि ईवीएम मशीनों को रिप्लेस किया जा सकता है ताकि फाइनल वोटिंग परसेंटेज बढ़ाया जाए।,47,adr election इनल परस बढ
Kartik Aaryan को ‘Chandu Champion’ के लिए क्यों बदलने पड़े लुक्स,हाल ही में रिलीज हुए ‘Chandu Champion’ के ट्रेलर ने सबको हिला दिया है। जी हां बिल्कुल सही सुना आपने रिलीज़ हुए ट्रेलर में Kartik के कई अवतार नजर आए। सिर्फ यही नहीं इस किरदार को निभाने के लिए एक्टर को 6 अलग-अलग लुक भी लेने पड़े।,48,champion chandu kartik अलग लर
Share Market को लेकर क्या सच हो रही है PM Modi की भविष्यवाणी! | Stock Market | Sensex | Nifty,,49,nan
Iran President Raisi Death: हूती-हमास-हिजबुल्लाह जैसे संगठनों को शह देने के पीछे ईरानी कूटनीति का सच,"Iran President Raisi Death: ईरान के राष्ट्रपति इब्राहिम रईसी के जनाजे में शामिल होने के लिए दुनिया के तमाम देशों के राष्ट्राध्यक्ष तक पहुंचे. ये ईरान की वैश्विक ताकत को दिखाता है लेकिन वहीं कई विद्रोही संगठनों के सरगना भी पहुंचे. वहां फिलीस्तीन के हमास, लेबनान के हिजबुल्लाह से लेकर हूती जैसे संगठनों के सरगना पहुंचे थे. हमास के प्रमुख इस्माइल हानिए से तो ईरान के सबसे बड़े नेता अयातुल्लाह खामनेई ने भी मुलाकात की.",50,ईर गठन जब पह हम
NDTV Battleground: विदेश मंत्री S Jaishankar ने बताया 10 साल में कैसे बदली लोगों की जिंदगी?,"| विदेश मंत्री एस जयशंकर (S Jaishankar) ने कहा, ""मोदी सरकार (Modi Government) के 10 साल का रिकॉर्ड उनके लिए बहुत मायने रखता है. लोगों को लगता है कि पिछले 10 साल में लोगों की जिंदगी बदली है. युवा वोटर्स के मन में भी ये बात है कि मोदी सरकार एक ऐसी सरकार है, जिसके कारण देश में एक आशा, एक उम्मीद जगी है. उन्हें लगता है कि भविष्य में बहुत सारी अच्छी चीजें हो सकती हैं."" देखें",51,10 jaishankar एक लगत सरक
Tejashwi Yadav Viral Video: युवाओं को नौकरी देने के वादे के साथ तेजस्वी ने BJP पर कर दी भविष्यवाणी,,52,nan
NDTV Election Carnival: इसलिए रीज़ मैदान से हुआ इलेक्शन कार्निवल | Himachal Pradesh,,53,nan
Bigg Boss OTT 3 को लेकर बड़ी अपडेट,"'बिग बॉस ओटीटी' के नए सीजन 3 का इंतजार करने वालों के लिए एक खुशखबरी है। आखिरकार 'बिग बॉस ओटीटी 3' को लेकर नया अपडेट सामने आया है। इस शो के अपकमिंग सीजन का पहला प्रोमो रिलीज हो चुका है, जिससे देख आपकी एक्साइटमेंट और भी ज्यादा बढ़ाने वाली है",54,अपड एक ओट कर जन
Delhi News: Arvind Kejriwal ने PM Modi को दिया संदेश | माता-पिता से पूछताछ को लेकर कह दी ये बड़ी बात,Delhi News: Arvind Kejriwal ने दिया PM मोदी को संदेश जारी किया है। अपने संदेश में केजरीवाल ने कहा कि आज मैं पीएम मोदी को एक संदेश देना चाहता हूं। आपने मुझे झुकाने और तोड़ने की काफी कोशिशें की। आपने मेरे विधायकों को तोड़ने की कोशिश की लेकिन नहीं कर पाए। आपने मेरे मंत्रियों को गिरफ्तार किया लेकिन आप मुझे नहीं झुका पाए। फिर आपने मझे गिरफ्तार कर जेल में काफी प्रताड़ित किया।,55,arvind delhi kejriwal आपन कर
